sample_id,group_id,fold
v3_99_seg3,v3_99,4
v3_9_seg1,v3_9,4
v3_9_seg2,v3_9,4
v3_9_seg3,v3_9,4
v4_100_seg1,v4_100,2
v4_100_seg2,v4_100,2
v4_100_seg3,v4_100,2
v4_101_seg1,v4_101,1
v4_101_seg2,v4_101,1
v4_102_seg1,v4_102,1
v4_102_seg2,v4_102,1
v4_103_seg1,v4_103,1
v4_103_seg2,v4_103,1
v4_103_seg3,v4_103,1
v4_104_seg1,v4_104,4
v4_104_seg2,v4_104,4
v4_106_seg1,v4_106,4
v4_106_seg2,v4_106,4
v4_106_seg3,v4_106,4
v4_107_seg1,v4_107,0
v4_107_seg2,v4_107,0
v4_107_seg3,v4_107,0
v4_108_seg1,v4_108,1
v4_108_seg2,v4_108,1
v4_108_seg3,v4_108,1
v4_109_seg1,v4_109,2
v4_109_seg2,v4_109,2
v4_109_seg3,v4_109,2
v4_10_seg1,v4_10,4
v4_10_seg2,v4_10,4
v4_10_seg3,v4_10,4
v4_110_seg1,v4_110,3
v4_110_seg2,v4_110,3
v4_110_seg3,v4_110,3
v4_111_seg1,v4_111,3
v4_111_seg2,v4_111,3
v4_111_seg3,v4_111,3
v4_112_seg1,v4_112,1
v4_112_seg2,v4_112,1
v4_112_seg3,v4_112,1
v4_11_seg1,v4_11,1
v4_11_seg2,v4_11,1
v4_11_seg3,v4_11,1
v4_12_seg1,v4_12,4
v4_12_seg2,v4_12,4
v4_12_seg3,v4_12,4
v4_13_seg1,v4_13,2
v4_13_seg2,v4_13,2
v4_14_seg1,v4_14,4
v4_14_seg2,v4_14,4
v4_14_seg3,v4_14,4
v4_15_seg1,v4_15,0
v4_15_seg2,v4_15,0
v4_15_seg3,v4_15,0
v4_16_seg1,v4_16,1
v4_16_seg2,v4_16,1
v4_16_seg3,v4_16,1
v4_17_seg1,v4_17,3
v4_17_seg2,v4_17,3
v4_17_seg3,v4_17,3
v4_18_seg1,v4_18,1
v4_18_seg2,v4_18,1
v4_18_seg3,v4_18,1
v4_19_seg1,v4_19,4
v4_19_seg2,v4_19,4
v4_19_seg3,v4_19,4
v4_20_seg1,v4_20,1
v4_21_seg1,v4_21,0
v4_21_seg2,v4_21,0
v4_21_seg3,v4_21,0
v4_22_seg1,v4_22,2
v4_22_seg2,v4_22,2
v4_23_seg1,v4_23,4
v4_23_seg2,v4_23,4
v4_23_seg3,v4_23,4
v4_24_seg1,v4_24,3
v4_24_seg2,v4_24,3
v4_24_seg3,v4_24,3
v4_25_seg1,v4_25,1
v4_25_seg2,v4_25,1
v4_25_seg3,v4_25,1
v4_26_seg1,v4_26,0
v4_26_seg2,v4_26,0
v4_26_seg3,v4_26,0
v4_29_seg1,v4_29,3
v4_29_seg2,v4_29,3
v4_30_seg1,v4_30,2
v4_30_seg2,v4_30,2
v4_30_seg3,v4_30,2
v4_31_seg1,v4_31,3
v4_31_seg2,v4_31,3
v4_32_seg1,v4_32,3
v4_32_seg2,v4_32,3
v4_32_seg3,v4_32,3
v4_33_seg1,v4_33,2
v4_33_seg2,v4_33,2
v4_33_seg3,v4_33,2
v4_34_seg1,v4_34,3
v4_34_seg2,v4_34,3
v4_34_seg3,v4_34,3
v4_35_seg1,v4_35,3
v4_35_seg2,v4_35,3
v4_35_seg3,v4_35,3
v4_36_seg1,v4_36,3
v4_36_seg2,v4_36,3
v4_36_seg3,v4_36,3
v4_37_seg1,v4_37,0
v4_37_seg2,v4_37,0
v4_38_seg1,v4_38,4
v4_38_seg2,v4_38,4
v4_38_seg3,v4_38,4
v4_39_seg1,v4_39,1
v4_39_seg2,v4_39,1
v4_39_seg3,v4_39,1
v4_3_seg1,v4_3,2
v4_3_seg2,v4_3,2
v4_41_seg1,v4_41,2
v4_42_seg1,v4_42,2
v4_42_seg2,v4_42,2
v4_42_seg3,v4_42,2
v4_43_seg1,v4_43,1
v4_43_seg2,v4_43,1
v4_43_seg3,v4_43,1
v4_44_seg1,v4_44,3
v4_44_seg2,v4_44,3
v4_44_seg3,v4_44,3
v4_45_seg1,v4_45,0
v4_45_seg2,v4_45,0
v4_46_seg1,v4_46,4
v4_46_seg2,v4_46,4
v4_46_seg3,v4_46,4
v4_47_seg1,v4_47,4
v4_47_seg2,v4_47,4
v4_47_seg3,v4_47,4
v4_48_seg1,v4_48,1
v4_48_seg2,v4_48,1
v4_49_seg1,v4_49,4
v4_49_seg2,v4_49,4
v4_4_seg1,v4_4,1
v4_4_seg2,v4_4,1
v4_4_seg3,v4_4,1
v4_50_seg1,v4_50,0
v4_50_seg2,v4_50,0
v4_50_seg3,v4_50,0
v4_51_seg1,v4_51,2
v4_51_seg2,v4_51,2
v4_51_seg3,v4_51,2
v4_52_seg1,v4_52,1
v4_52_seg2,v4_52,1
v4_52_seg3,v4_52,1
v4_53_seg1,v4_53,2
v4_53_seg2,v4_53,2
v4_54_seg1,v4_54,1
v4_54_seg2,v4_54,1
v4_54_seg3,v4_54,1
v4_55_seg1,v4_55,2
v4_55_seg2,v4_55,2
v4_55_seg3,v4_55,2
v4_56_seg1,v4_56,0
v4_56_seg2,v4_56,0
v4_56_seg3,v4_56,0
v4_57_seg1,v4_57,1
v4_57_seg2,v4_57,1
v4_57_seg3,v4_57,1
v4_58_seg1,v4_58,4
v4_58_seg2,v4_58,4
v4_58_seg3,v4_58,4
v4_59_seg1,v4_59,2
v4_59_seg2,v4_59,2
v4_59_seg3,v4_59,2
v4_5_seg1,v4_5,4
v4_5_seg2,v4_5,4
v4_5_seg3,v4_5,4
v4_60_seg1,v4_60,4
v4_60_seg2,v4_60,4
v4_60_seg3,v4_60,4
v4_61_seg1,v4_61,2
v4_61_seg2,v4_61,2
v4_61_seg3,v4_61,2
v4_62_seg1,v4_62,3
v4_62_seg2,v4_62,3
v4_62_seg3,v4_62,3
v4_63_seg1,v4_63,2
v4_63_seg2,v4_63,2
v4_63_seg3,v4_63,2
v4_64_seg1,v4_64,3
v4_64_seg2,v4_64,3
v4_64_seg3,v4_64,3
v4_65_seg1,v4_65,1
v4_65_seg2,v4_65,1
v4_65_seg3,v4_65,1
v4_67_seg1,v4_67,4
v4_67_seg2,v4_67,4
v4_67_seg3,v4_67,4
v4_68_seg1,v4_68,1
v4_68_seg2,v4_68,1
v4_68_seg3,v4_68,1
v4_69_seg1,v4_69,2
v4_69_seg2,v4_69,2
v4_69_seg3,v4_69,2
v4_6_seg1,v4_6,2
v4_6_seg2,v4_6,2
v4_6_seg3,v4_6,2
v4_70_seg1,v4_70,1
v4_70_seg2,v4_70,1
v4_70_seg3,v4_70,1
v4_71_seg1,v4_71,0
v4_71_seg2,v4_71,0
v4_71_seg3,v4_71,0
v4_72_seg1,v4_72,4
v4_72_seg2,v4_72,4
v4_72_seg3,v4_72,4
v4_73_seg1,v4_73,0
v4_73_seg2,v4_73,0
v4_73_seg3,v4_73,0
v4_74_seg1,v4_74,2
v4_74_seg2,v4_74,2
v4_74_seg3,v4_74,2
v4_75_seg1,v4_75,4
v4_75_seg2,v4_75,4
v4_75_seg3,v4_75,4
v4_76_seg1,v4_76,0
v4_77_seg1,v4_77,3
v4_77_seg2,v4_77,3
v4_77_seg3,v4_77,3
v4_78_seg1,v4_78,2
v4_78_seg2,v4_78,2
v4_78_seg3,v4_78,2
v4_7_seg1,v4_7,0
v4_7_seg2,v4_7,0
v4_7_seg3,v4_7,0
v4_80_seg1,v4_80,0
v4_80_seg2,v4_80,0
v4_80_seg3,v4_80,0
v4_81_seg1,v4_81,1
v4_81_seg2,v4_81,1
v4_81_seg3,v4_81,1
v4_82_seg1,v4_82,4
v4_82_seg2,v4_82,4
v4_82_seg3,v4_82,4
v4_83_seg1,v4_83,2
v4_83_seg2,v4_83,2
v4_83_seg3,v4_83,2
v4_84_seg1,v4_84,4
v4_85_seg1,v4_85,0
v4_85_seg2,v4_85,0
v4_85_seg3,v4_85,0
v4_86_seg1,v4_86,3
v4_86_seg2,v4_86,3
v4_86_seg3,v4_86,3
v4_87_seg1,v4_87,0
v4_87_seg2,v4_87,0
v4_88_seg1,v4_88,4
v4_88_seg2,v4_88,4
v4_88_seg3,v4_88,4
v4_89_seg1,v4_89,4
v4_89_seg2,v4_89,4
v4_8_seg1,v4_8,4
v4_8_seg2,v4_8,4
v4_90_seg1,v4_90,0
v4_90_seg2,v4_90,0
v4_91_seg1,v4_91,0
v4_91_seg2,v4_91,0
v4_91_seg3,v4_91,0
v4_93_seg1,v4_93,0
v4_93_seg2,v4_93,0
v4_94_seg1,v4_94,3
v4_94_seg2,v4_94,3
v4_94_seg3,v4_94,3
v4_95_seg1,v4_95,4
v4_95_seg2,v4_95,4
v4_95_seg3,v4_95,4
v4_96_seg1,v4_96,1
v4_96_seg2,v4_96,1
v4_97_seg1,v4_97,4
v4_97_seg2,v4_97,4
v4_98_seg1,v4_98,3
v4_98_seg2,v4_98,3
v4_98_seg3,v4_98,3
v4_99_seg1,v4_99,0
v4_99_seg2,v4_99,0
v4_99_seg3,v4_99,0
v4_9_seg1,v4_9,1
v4_9_seg2,v4_9,1
v4_9_seg3,v4_9,1
